algorithm,n,median_s,mean_s,stdev_s
SelectionSort,100,0.00010708,0.00010584,0.00000350
MergeSort,100,0.00007255,0.00007311,0.00000119
InsertionSort,100,0.00008634,0.00008740,0.00000637
SelectionSort,500,0.00267154,0.00268511,0.00009750
MergeSort,500,0.00045967,0.00046700,0.00001617
InsertionSort,500,0.00224029,0.00226252,0.00005027
SelectionSort,1000,0.01072513,0.01080113,0.00024214
MergeSort,1000,0.00100663,0.00100866,0.00000533
InsertionSort,1000,0.00941608,0.00943129,0.00019407
SelectionSort,50000,27.31679608,27.35194164,0.11654245
MergeSort,50000,0.07860929,0.07930054,0.00133494
InsertionSort,50000,25.30736708,25.43621742,0.22578585
